Name,Roll Number,Aadhar,Subject 1,Subject 2,Subject 3,Subject 4,Subject 5
Riya Sharma,1,1234,85,78,90,82,75
Aditya Singh,2,5678,72,88,65,92,58
Priya Kapoor,3,9012,95,82,78,85,90
Rahul Patel,4,3456,68,75,82,70,65
Ayesha Khan,5,7890,80,90,72,88,85
Rohan Desai,6,1357,55,62,78,95,82
Maya Joshi,7,4689,92,85,88,75,78
Dev Mehta,8,8021,70,82,68,78,90
Nikita Verma,9,1472,88,78,90,82,85
Arjun Kumar,10,5803,62,70,85,68,72
Ishaan Gupta,11,9134,90,85,78,82,92
Kiara Malhotra,12,2578,75,82,90,78,88
Viraj Patel,13,6912,82,78,85,90,75
Siya Shah,14,356,65,72,88,95,82
Aarav Joshi,15,3790,90,82,75,88,85
Ananya Tripathi,16,7123,78,90,82,85,72
Krish Malhotra,17,1567,60,68,75,82,90
Diya Agarwal,18,4901,85,78,92,80,88
Yuvraj Singh,19,8245,68,75,80,92,85
Kavya Rao,20,147,72,80,90,85,68
Neil Bajaj,21,4580,58,65,72,82,90
Zara Khan,22,8912,88,92,75,80,85
Aman Desai,23,2356,65,70,82,90,78
Inaya Sharma,24,6789,90,82,78,85,92
Kabir Kapoor,25,123,72,88,68,78,95
Tara Mehta,26,4567,85,75,90,88,82
Mihir Patel,27,8901,62,70,80,92,88
Sakshi Verma,28,2145,78,90,85,72,82
Vikram Kumar,29,6589,68,72,88,90,75
Rhea Gupta,30,912,92,85,78,80,90
Vivaan Malhotra,31,3156,70,82,95,78,85
Saanvi Patel,32,7590,85,78,82,88,90
Abhay Shah,33,1934,60,65,75,80,92
Myra Joshi,34,3712,90,88,72,85,78
Daksh Agarwal,35,7156,68,70,82,95,80
Naina Singh,36,1590,82,75,90,88,85
Karan Malhotra,37,9856,70,80,85,78,92
